,﻿OrganisationID,OrganisationCode,OrganisationType,SubType,Sector,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude,ParentODSCode,ParentName,Phone,Email,Website,Fax,northing,easting
1145,6701659,NDAJ0,Hospital,UNKNOWN,NHS Sector,Visible,True,Livingstone Community Hospital - Virgin Care Adult Community Services,East Hill,,,Dartford,Kent,DA1 1SA,51.44222641,0.226812378,NDA,Virgin Care Services Ltd,0300 123 4449,,http://www.virgincare.co.uk/service-hub/north-kent-adults/,,173876.8594,554741.0
930,75095,RW1FY,Hospital,Hospital,Independent Sector,Visible,True,Romsey Hospital,Winchester Hill,,,Romsey,Hampshire,SO51 7ZA,50.99206543,-1.48197794,RW1,Southern Health NHS Foundation Trust,023 8231 0350,,http://www.southernhealth.nhs.uk/services/community-health-services/hospitals/romsey/,,121595.4609,436352.0
633,43182,RXN01,Hospital,Hospital,NHS Sector,Visible,True,Chorley and South Ribble Hospital,Chorley and South Ribble Hospital,Preston Road,,Chorley,Lancashire,PR7 1PP,53.66609192,-2.636446476,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,01257 261222,enquiries@lthtr.nhs.uk,https://www.lancsteachinghospitals.nhs.uk,,419059.375,357952.4063
877,70254,RV378,Hospital,UNKNOWN,Independent Sector,Visible,False,Elderly Day Hospital,2 Exmoor Street,,,London,Greater London,W10 6BD,51.52338791,-0.21723561,RV3,Central and North West London NHS Foundation Trust,,,,,182056.75,523666.8438
1204,10075366,RWK4R,Hospital,UNKNOWN,Independent Sector,Visible,False,Steppingley Hospital,Ampthill Road,Steppingley,,Bedford,Bedfordshire,MK45 1AB,52.01228714,-0.511812329,RWK,East London NHS Foundation Trust,,,,,235965.625,502124.3438
939,75792,NRC01,Hospital,UNKNOWN,NHS Sector,Visible,False,Riverdale Hospital,93 Riverdale Road,Ranmoor,,Sheffield,South Yorkshire,S10 3FE,53.36991501,-1.518530488,NRC,Riverdale Grange Limited,,,,,386032.0313,432031.5625
425,41354,RNZ02,Hospital,Hospital,NHS Sector,Visible,True,Salisbury District Hospital,Odstock Road,,,Salisbury,Wiltshire,SP2 8BJ,51.04394913,-1.789808512,RNZ,Salisbury NHS Foundation Trust,01722 336262,sft.pals@nhs.net,http://www.salisbury.nhs.uk,,127257.9688,414733.6875
581,42735,RWK61,Hospital,Hospital,NHS Sector,Visible,True,The Tower Hamlets Centre For Mental Health,Bancroft Road,Mile End,,London,Greater London,E1 4DG,51.5250473,-0.04219196,RWK,East London NHS Foundation Trust,020 8121 5001,,http://www.elcmht.nhs.uk,,182551.6406,535803.3125
1111,4621854,NMV54,Hospital,UNKNOWN,NHS Sector,Visible,False,Rhodes Farm,The Ridgeway,Mill Hill,,London,Greater London,NW7 1RH,51.61768723,-0.222455218,NMV,Partnerships In Care Ltd,,,,,192533.3594,523049.9063
1220,10617463,RTH39,Hospital,UNKNOWN,Independent Sector,Visible,False,Birmingham Children's Hospital,Steelhouse Lane,,,Birmingham,,B4 6NW,52.48423386,-1.893373251,RTH,Oxford University Hospitals NHS Foundation Trust,,,,,287414.4688,407240.0313
423,41316,RNNCB,Hospital,Hospital,NHS Sector,Visible,True,Cockermouth Community Hospital,,Isel Road,,Cockermouth,Cumbria,CA13 9HT,54.6668129,-3.358580589,RNN,Cumbria Partnership NHS Foundation Trust,01900 705776,,https://www.cumbriapartnership.nhs.uk/where-we-work/cockermouth-community-hospital,,531052.6875,312386.0938
317,40723,RGT50,Hospital,Hospital,NHS Sector,Visible,False,Saffron Walden Community Hospital,Radwinter Road,,,Saffron Walden,Essex,CB11 3HY,52.02357101,0.256233364,RGT,Cambridge University Hospitals NHS Foundation Trust,,,,,238578.0313,554785.75
927,74976,NM601,Hospital,UNKNOWN,NHS Sector,Visible,False,St Georges Hospital,De La Warr Road,Milford On Sea,,Lymington,Hampshire,SO41 0PS,50.72458267,-1.600407839,NM6,St Georges Hospital Ltd,,,,,91802.09375,428202.1563
226,40109,RAX01,Hospital,Hospital,NHS Sector,Visible,True,Kingston Hospital,Galsworthy Road,,,Kingston Upon Thames,Surrey,KT2 7QB,51.41482544,-0.282609493,RAX,Kingston Hospital NHS Foundation Trust,020 8546 7711,khft.pals@nhs.net,http://www.kingstonhospital.nhs.uk/,020 85472182,169877.0156,519415.4375
943,75906,RXCLV,Hospital,Hospital,Independent Sector,Visible,True,Lewes Victoria Hospital,Nevill Road,,,Lewes,East Sussex,BN7 1PE,50.8751564,-0.005517753,RXC,East Sussex Healthcare NHS Trust,01273 474153,,,,110363.1563,540308.0625
516,42131,RTRAT,Hospital,Hospital,NHS Sector,Visible,True,The James Cook University Hospital,Marton Road,,,Middlesbrough,Cleveland,TS4 3BW,54.55175781,-1.214789987,RTR,South Tees Hospitals NHS Foundation Trust,01642 850850,,https://www.southtees.nhs.uk/,,517687.4063,450781.6875
1148,6795504,NT30A,Hospital,UNKNOWN,NHS Sector,Visible,True,Spire Nottingham Hospital,Spire Nottingham Hospital,Tollerton Lane,Tollerton,Nottingham,Nottinghamshire,NG12 4GA,52.91842651,-1.086676002,NT3,Spire Healthcare,0115 937 7800,ntgbookings@spirehealthcare.com,https://www.spirehealthcare.com/spire-nottingham-hospital/,0115 937 7826,336093.25,461402.3438
1131,6010838,AXC01,Hospital,UNKNOWN,NHS Sector,Visible,False,London Welbeck Hospital,27 Welbeck Street,,,London,Greater London,W1G 8EN,51.51823807,-0.149448082,AXC,Welbeck Healthcare Limited,,,,,181600.875,528383.25
1007,1095910,RT5PD,Hospital,Hospital,NHS Sector,Visible,True,Loughborough Hospital,,Hospital Way,Loughborough,Leicestershire,,LE11 5JY,52.77329254,-1.225931406,RT5,Leicestershire Partnership NHS Trust,01509 611600,,http://www.leicspart.nhs.uk/_OurServices-CommunityHospitals-LoughboroughHospital.aspx,,319840.5313,452214.2813
10,18314,NR510,Hospital,Hospital,Independent Sector,Visible,True,Lee Mill Hospital,,Beech Road,Ivybridge,Plymouth,Devon,PL21 9HL,50.38948441,-3.959660053,NR5,Livewell Southwest,01752 314800,,,01752 314804,56303.21875,260713.1719
911,73351,RY333,Hospital,UNKNOWN,Independent Sector,Visible,False,Wells Cottage Hospital,Mill Road,,,Wells-Next-The-Sea,Norfolk,NR23 1RF,52.95451355,0.835336566,RY3,Norfolk Community Health and Care NHS Trust,,,,,343479.125,590440.8125
635,43192,RXPBA,Hospital,Hospital,NHS Sector,Visible,True,Bishop Auckland Hospital,Cockton Hill Road,,,Bishop Auckland,County Durham,DL14 6AD,54.65584946,-1.678531766,RXP,County Durham and Darlington NHS Foundation Trust,01388 455000,information@cddft.nhs.uk,http://www.cddft.nhs.uk/,01388 454127,529032.8125,420737.4375
712,43952,RYYCH,Hospital,Hospital,NHS Sector,Visible,True,"Victoria Hospital, Deal",Victoria Hospital,London Road,,Deal,Kent,CT14 9UA,51.21939087,1.389496326,RYY,Kent Community Health NHS Foundation Trust,01304 865400,,http://www.kentcht.nhs.uk,,152205.3906,636663.8125
710,43943,RYYC7,Hospital,Hospital,NHS Sector,Visible,True,Sheppey Community Hospital,Plover Road,Minster On Sea,,Sheerness,Kent,ME12 3LT,51.41540909,0.793075562,RYY,Kent Community Health NHS Foundation Trust,01795 879100,,http://www.kentcht.nhs.uk,,172244.125,594198.0625
1224,10617714,RAX0A,Hospital,UNKNOWN,Independent Sector,Visible,False,London North West University Hospitals,Watford Road,,,Harrow,,HA1 3UJ,51.57540894,-0.322022736,RAX,Kingston Hospital NHS Foundation Trust,,,,,187669.2656,516265.75
477,41806,RRV30,Hospital,Hospital,NHS Sector,Visible,True,University College Hospital at Westmoreland Street,University College Hospital at Westmoreland Street,16-18 Westmoreland Street,,London,,W1G 8PH,51.51958084,-0.149753928,RRV,University College London Hospitals NHS Foundation Trust,020 3456 7898,,http://www.uclh.nhs.uk/OurServices/OurHospitals/HH/Pages/Home.aspx,,181749.6563,528358.25
354,40922,RJ224,Hospital,Hospital,NHS Sector,Visible,True,University Hospital Lewisham,Lewisham High Street,,,London,,SE13 6LH,51.45433044,-0.017036438,RJ2,Lewisham and Greenwich NHS Trust,020 8333 3000,,http://www.lewishamandgreenwich.nhs.uk,020 8333 3333,174735.7188,537761.125
583,42754,RWP31,Hospital,Hospital,NHS Sector,Visible,True,Kidderminster Hospital & Treatment Centre,,Bewdley Road,,Kidderminster,Worcestershire,DY11 6RJ,52.3851738,-2.261321783,RWP,Worcestershire Acute Hospitals NHS Trust,01562 823 424,wah-tr.pet@nhs.net,http://www.worcsacute.nhs.uk/our-hospitals/kidderminster-hospital-and-treatment-centre,,276423.6563,382216.2188
405,41226,RMY03,Hospital,Hospital,NHS Sector,Visible,True,"Northgate Hospital, Gt Yarmouth",Northgate Street,,,Great Yarmouth,Norfolk,NR30 1BU,52.61727524,1.730024934,RMY,Norfolk and Suffolk NHS Foundation Trust,01493 337652,info@nwmghp.nhs.uk,http://www.nwmhp.nhs.uk,01493 337674,308740.2813,652460.125
44,18389,NT305,Hospital,Hospital,Independent Sector,Visible,True,Spire Portsmouth Hospital,Bartons Road,,,Havant,Hampshire,PO9 5NP,50.86859131,-0.955126107,NT3,Spire Healthcare,02392 456 172,info@spireportsmouth.com,https://www.spirehealthcare.com/spire-portsmouth-hospital/,02392 456 012,108258.3438,473517.4063
126,18626,NTN09,Hospital,Hospital,Independent Sector,Visible,True,Priory Hospital Hayes Grove,Prestons Road,Hayes,,Bromley,Kent,BR2 7AS,51.37308121,0.014595352,NTN,Priory Group Limited,020 8462 7722,hayesgrove@priorygroup.com,https://www.priorygroup.com/locations/priory-hospital-hayes-grove,020 8462 5028,165761.8594,540206.8125
238,40200,RBT21,Hospital,Hospital,NHS Sector,Visible,True,Victoria Infirmary (Northwich),Winnington Hill,Winnington Hill,,Northwich,Cheshire,CW8 1AW,53.26189423,-2.519784451,RBT,Mid Cheshire Hospitals NHS Foundation Trust,01606 564000,,http://www.mcht.nhs.uk,01606 564020,374034.0313,365332.0
748,58613,NMJ02,Hospital,Hospital,NHS Sector,Visible,True,Cygnet Hospital Bierley,Bierley Lane,,,Bradford,West Yorkshire,BD4 6AD,53.7685051,-1.732101202,NMJ,Cygnet Health Care Limited,01274 686 767,jennymcvinnie@cygnethealth.co.uk,http://www.cygnethealth.co.uk/locations/bierley/,01274 686 660,430297.5313,417656.2188
1062,2917652,R1K02,Hospital,Hospital,Independent Sector,Visible,True,Central Middlesex Hospital,Acton Lane,Park Royal,,London,,NW10 7NS,51.53093719,-0.269146293,R1K,London North West University Healthcare NHS Trust,020 8965 5733,lnwh-tr.trust@nhs.net,http://www.lnwh.nhs.uk,,182809.7188,520046.3125
833,64210,RWW06,Hospital,UNKNOWN,Independent Sector,Visible,False,Stretford Memorial Hospital,226 Seymour Grove,,,Manchester,Greater Manchester,M16 0DU,53.45288849,-2.274085522,RWW,Warrington and Halton Hospitals NHS Foundation Trust,,,,,395188.9375,381800.8438
299,40560,RET20,Hospital,Hospital,NHS Sector,Visible,True,The Walton Centre ,Lower Lane,Fazakerley,,Liverpool,Merseyside,L9 7LJ,53.46640015,-2.930985451,RET,The Walton Centre NHS Foundation Trust,0151 525 3611,enquiries@thewaltoncentre.nhs.uk,http://www.thewaltoncentre.nhs.uk,0151 529 5500,397060.4375,338203.3438
903,72763,RP1J6,Hospital,Hospital,Independent Sector,Visible,True,Danetre Hospital,London Road,,,Daventry,Northamptonshire,NN11 4DY,52.25204086,-1.160851955,RP1,Northamptonshire Healthcare NHS Foundation Trust,01327 708800,,https://www.nhft.nhs.uk/danetre,,261916.2656,457277.875
125,18625,NTN08,Hospital,Hospital,Independent Sector,Visible,True,Woodbourne Priory Hospital,21 Woodbourne Road,Edgbaston,,Birmingham,West Midlands,B17 8BY,52.47169495,-1.95580709,NTN,Priory Group Limited,0121 434 4343,woodbourne@priorygroup.com,https://www.priorygroup.com/locations/priory-hospital-woodbourne-birmingham,0121 434 3270,286015.4375,403001.5938
916,73661,RW1Q6,Hospital,Hospital,Independent Sector,Visible,True,Hythe Hospital,Beaulieu Road,Hythe,,Southampton,Hampshire,SO45 4ZB,50.85858536,-1.402899384,RW1,Southern Health NHS Foundation Trust,023 8042 3203,,http://www.southernhealth.nhs.uk/services/community-health-services/hospitals/hythe/,,106795.5781,442021.375
1001,1094758,RJZ70,Hospital,Hospital,Independent Sector,Visible,True,Orpington Hospital,Sevenoaks Road,,,Orpington,Kent,BR6 9JU,51.36250305,0.095164143,RJZ,King's College Hospital NHS Foundation Trust,01689 863000,,http://pruh.kch.nhs.uk/,,164742.875,545847.125
309,40650,RGM21,Hospital,Hospital,NHS Sector,Visible,True,Royal Papworth Hospital,Royal Papworth Hospital,Cambridge Biomedical Campus,Papworth Road,Cambridge,Cambridgeshire,CB2 0AY,52.17238617,0.136189625,RGM,Royal Papworth Hospital NHS Foundation Trust,01223 638000,papworth.communications@nhs.net,https://royalpapworth.nhs.uk/our-hospital/getting-here,,254876.7656,546064.1875
443,41496,RPGHF,Hospital,Hospital,NHS Sector,Visible,True,Queen Mary,,Frognal Avenue,,Sidcup,Kent,DA14 6LT,51.41904068,0.101675332,RPG,Oxleas NHS Foundation Trust,020 8302 2678,,http://qmh.oxleas.nhs.uk,,171041.9844,546120.0625
213,40059,RAE05,Hospital,Hospital,NHS Sector,Visible,True,St Lukes Hospital,,Little Horton Lane,,Bradford,West Yorkshire,BD5 0NA,53.78348541,-1.760977983,RAE,Bradford Teaching Hospitals NHS Foundation Trust,01274 734744,,http://www.bradfordhospitals.nhs.uk,,431957.25,415747.4375
152,18829,NVC04,Hospital,Hospital,Independent Sector,Visible,True,Duchy Hospital,Penventinnie Lane,,,Truro,Cornwall,TR1 3UP,50.26794434,-5.093553543,NVC,Ramsay Healthcare UK Operations Limited,01872 226115,duchy.enquiries@ramsayhealth.co.uk,http://www.duchyhospital.co.uk,01872 226118 ,45533.30078,179569.3281
23,18363,NT216,Hospital,Hospital,Independent Sector,Visible,True,"Nuffield Health, Guildford Hospital",,Stirling Road,,Guildford,Surrey,GU2 7RF,51.24165344,-0.612543583,NT2,Nuffield Health,01483 555800,,http://www.nuffieldhealth.com/guildfordhospital,,150135.4531,496839.3438
431,41406,RP5DR,Hospital,Hospital,NHS Sector,Visible,True,Doncaster Royal Infirmary,Thorne Road,,,Doncaster,Yorkshire,DN2 5LT,53.53075409,-1.109211326,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,01302 366666,,http://www.dbth.nhs.uk,01302 320098,404184.9063,459039.0938
742,46615,RQYCC,Hospital,Hospital,NHS Sector,Visible,True,Richmond Royal Hospital,,Kew Foot Road,,Richmond,,TW9 2TE,51.46671295,-0.300415009,RQY,South West London and St George's Mental Health NHS Trust,020 3513 3200,,,,175617.6094,518043.5938
407,41230,RMY13,Hospital,Hospital,NHS Sector,Visible,True,Carlton Court,Carlton Court Hospital,St. Peters Road,,Carlton Colville,Suffolk,NR33 8AG,52.45330048,1.696761727,RMY,Norfolk and Suffolk NHS Foundation Trust,01502 527900,,http://www.nsft.nhs.uk,01502 538262,290396.2813,651144.375
77,18426,NT404,Hospital,Hospital,Independent Sector,Visible,True,BMI The Beaumont Hospital,Chorley New Road,Lostock,,Bolton,Lancashire,BL6 4LA,53.57982254,-2.4991045,NT4,BMI Healthcare,01204 404404,beaumont@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-beaumont-hospital,01204 404488,409390.125,366958.6563
1107,4621799,AQT01,Hospital,UNKNOWN,NHS Sector,Visible,False,Mount Edgcumbe Hospice,Porthpean Road,,,St. Austell,Cornwall,PL26 6AB,50.32857513,-4.772080898,AQT,Cornwall Hospice Care Limited,,,,,51370.45703,202723.4219
731,45492,RV915,Hospital,Hospital,NHS Sector,Visible,True,Townend Court,,296 Cottingham Road,,Hull,,HU6 8QG,53.77056503,-0.376976818,RV9,Humber NHS Foundation Trust,01482 336740,hnf-tr.contactus@nhs.net,http://www.humber.nhs.uk,,431715.5313,506957.9375
419,41270,RNA04,Hospital,Hospital,NHS Sector,Visible,True,Corbett Hospital,Vicarage Road,,,Stourbridge,West Midlands,DY8 4JB,52.46540833,-2.146383286,RNA,The Dudley Group NHS Foundation Trust,01384 456111,communications@dgh.nhs.uk,http://www.dgh.nhs.uk,,285325.375,390056.2188
632,43162,RXL64,Hospital,Hospital,NHS Sector,Visible,True,Lancashire Bowel Cancer Screening Programme - Fleetwood Hospital,,Pharos Street,,Fleetwood,Lancashire,FY7 6BE,53.92620087,-3.009324551,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,,,,,448279.3438,333729.7188
866,68956,RY8AH,Hospital,Hospital,Independent Sector,Visible,True,Buxton Hospital,,London Road,,Buxton,Derbyshire,SK17 9NJ,53.24814606,-1.90827322,RY8,Derbyshire Community Health Services NHS Foundation Trust,01298 214 000,dchst.patientexperienceteam@nhs.net,http://www.dchs.nhs.uk/home_redesign/our-services/find_services_by_location/buxtonhospital/,,372382.625,406119.875
679,43666,RY539,Hospital,Hospital,NHS Sector,Visible,True,Skegness and District General Hospital,,Dorothy Avenue,,Skegness,Lincolnshire,PE25 2BS,53.14517975,0.332272351,RY5,Lincolnshire Community Health Services NHS Trust,01754 762 401,,http://www.lincolnshirecommunityhealthservices.nhs.uk/content/skegness-hospital,,363465.7813,555967.0625
804,61991,RNUDJ,Hospital,Hospital,Independent Sector,Visible,False,Wallingford Community Hospital,Reading Road,,,Wallingford,Oxfordshire,OX10 9DU,51.59467697,-1.12827909,RNU,Oxford Health NHS Foundation Trust,,,,,188837.9688,460376.75
103,18458,NT436,Hospital,Hospital,Independent Sector,Visible,True,BMI Shirley Oaks Hospital,,Poppy Lane,,Croydon,Surrey,CR9 8AB,51.38230133,-0.056337729,NT4,BMI Healthcare,0208 655 5500,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-shirley-oaks-hospital,0208 655 5555,166653.75,535243.4375
1047,2309255,TAJ52,Hospital,Hospital,NHS Sector,Visible,True,Penn Hospital,Penn Hospital,Penn Road,Penn,Wolverhampton,,WV4 5HN,52.55867386,-2.159173012,TAJ,Black Country Partnership NHS Foundation Trust,01902 444141,,http://www.bcpft.nhs.uk,,295700.4688,389210.2813
1117,4954282,AAV16,Hospital,UNKNOWN,NHS Sector,Visible,False,Community Health And Eyecare Limited (First Trust Hospital),D'urton Lane,,,Preston,Lancashire,PR3 5LD,53.80301666,-2.711092472,AAV,Community Health And Eyecare Limited,,,,,434338.0313,353173.3125
208,40052,RA957,Hospital,Hospital,NHS Sector,Visible,True,Newton Abbot Community Hospital - Torbay and South Devon NHS Foundation Trust,Jetty Marsh Road,,,Newton Abbot,Devon,TQ12 2TS,50.53936386,-3.612241745,RA9,Torbay and South Devon NHS Foundation Trust,01626 324500,,https://www.torbayandsouthdevon.nhs.uk/visiting-us/newton-abbot-community-hospital/,,72373.01563,285767.0
70,18417,NT348,Hospital,Hospital,Independent Sector,Visible,True,Spire Elland Hospital,Elland Lane,,,Elland,West Yorkshire,HX5 9EB,53.68877792,-1.828913331,NT3,Spire Healthcare,01422 324000,spire.elland@nhs.net,https://www.spirehealthcare.com/spire-elland-hospital/,0800 138 8804,421408.5313,411297.0313
167,18846,NVC21,Hospital,Hospital,Independent Sector,Visible,True,West Midlands Hospital,Colman Hill,,,Halesowen,West Midlands,B63 2AH,52.45781708,-2.076659679,NVC,Ramsay Healthcare UK Operations Limited, 01384 560123 ,westmidlands.enquiries@ramsayhealth.co.uk,http://www.westmidlandshospital.co.uk,01384 411103  ,284473.75,394791.625
1086,3664840,RJC46,Hospital,UNKNOWN,Independent Sector,Visible,True,Leamington Spa Hospital,Heathcote Lane,Heathcote,,Warwick,Warwickshire,CV34 6SR,52.2685585,-1.540391564,RJC,South Warwickshire NHS Foundation Trust,01926 317 700,,,,263521.125,431360.0938
392,41122,RLQ01,Hospital,Hospital,NHS Sector,Visible,True,"The County Hospital, Wye Valley NHS Trust",,,Stonebow Road,Hereford,Herefordshire,HR1 2BN,52.05873489,-2.707180262,RLQ,Wye Valley NHS Trust,01432 355 444,makingexperiencescount@wvt.nhs.uk,http://www.wyevalley.nhs.uk,,240321.8125,351520.2188
1014,1095949,R1J12,Hospital,Hospital,NHS Sector,Visible,True,Fairford Hospital,,The Croft,,Fairford,,GL7 4BB,51.70811462,-1.778166652,R1J,Gloucestershire Care Services NHS Trust,0300 421 6470,,http://www.glos-care.nhs.uk,,201116.3281,415326.3438
741,46607,RWXX1,Hospital,Hospital,NHS Sector,Visible,True,Wokingham Hospital,,41 Barkham Road,,Wokingham,Berkshire,RG41 2XR,51.41040421,-0.843685389,RWX,Berkshire Healthcare NHS Foundation Trust,0118 949 5000,,http://www.berkshirehealthcare.nhs.uk/,,168620.4688,480411.3125
570,42686,RWF03,Hospital,Hospital,NHS Sector,Visible,True,Maidstone Hospital,,Hermitage Lane,,Maidstone,Kent,ME16 9QQ,51.27366257,0.483988225,RWF,Maidstone and Tunbridge Wells NHS Trust,01622 729000,mtw-tr.palsoffice@nhs.net,http://www.mtw.nhs.uk/,,155711.0156,573244.75
97,18452,NT430,Hospital,Hospital,Independent Sector,Visible,True,BMI The Ridgeway Hospital,Moormead Road,Wroughton,,Swindon,Wiltshire,SN4 9DD,51.52532959,-1.786146641,NT4,BMI Healthcare,01793 814848,ridgeway@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-ridgeway-hospital,01793 814852,180787.9375,414834.5
497,41948,RTFDJ,Hospital,Hospital,NHS Sector,Visible,True,Alnwick Infirmary,Infirmary Drive,South Road,,Alnwick,Northumberland,NE66 2NS,55.41094208,-1.697199821,RTF,Northumbria Healthcare NHS Foundation Trust,0344 811 8111,contactus@northumbria.nhs.uk,https://www.northumbria.nhs.uk/alnwick,,613046.0,419169.3125
1008,1095914,RY402,Hospital,Hospital,NHS Sector,Visible,True,Potters Bar Community Hospital,,Oakmere Ward,,Potters Bar,Hertfordshire,EN6 2RY,51.68718338,-0.177504808,RY4,Hertfordshire Community NHS Trust,01707 653286,,,,200337.5313,525968.5
869,69166,RXP63,Hospital,Hospital,Independent Sector,Visible,True,Hundens Lane Day Hospital - Darlington,Hundens Lane,,,Darlington,Durham,DL1 1JE,54.52486801,-1.537556887,RXP,County Durham and Darlington NHS Foundation Trust,01325 380100,,,,514510.5313,429927.3438
98,18453,NT431,Hospital,Hospital,Independent Sector,Visible,True,BMI The Runnymede Hospital,Guildford Road,Ottershaw,,Chertsey,Surrey,KT16 0RQ,51.37797546,-0.524110198,NT4,BMI Healthcare,01932 877800,runnymede@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-runnymede-hospital,01932 875433,165413.6719,502706.5313
923,74650,RHU16,Hospital,Hospital,Independent Sector,Visible,False,Emsworth Hospital,Victoria Cottage Hospital,North Street,,Emsworth,Hampshire,PO10 7DD,50.84840393,-0.937394619,RHU,Portsmouth Hospitals NHS Trust,,,,,106031.5547,474797.2813
332,40788,RH834,Hospital,Hospital,NHS Sector,Visible,True,Ottery St Mary Hospital,Keegan Close,,,Ottery St Mary,Devon,EX11 1DN,50.75011826,-3.291560888,RH8,Royal Devon and Exeter NHS Foundation Trust,01404 816 000,,,,95360.47656,308896.0313
676,43657,RY332,Hospital,Hospital,NHS Sector,Visible,True,North Walsham Hospital,North Walsham and District War Memorial Hospital,Yarmouth Road,,North Walsham,Norfolk,NR28 9AP,52.81397629,1.387597919,RY3,Norfolk Community Health and Care NHS Trust,01692 408000,,http://www.norfolkcommunityhealthandcare.nhs.uk,,329463.5313,628261.125
